institution_code,institution_name,institution_type,campus_code,campus_name,program_code,program_name,target_academic_year,admission_round_code,admission_round_name,admission_track_code,admission_track_name,mapping_status
DONGYANG-MIRAE,동양미래대학교,JUNIOR_COLLEGE,MAIN,본교,PROGRAM-7EB48995D22E,호텔관광학과,2027,SUSI-1,수시1차,SPECIAL-GENERAL-HS,특별전형 / 일반고,EXPLICIT_PHASE14_PILOT
DONGYANG-MIRAE,동양미래대학교,JUNIOR_COLLEGE,MAIN,본교,PROGRAM-4C25E5EEF92D,컴퓨터소프트웨어공학과,2027,SUSI-1,수시1차,SPECIAL-GENERAL-HS,특별전형 / 일반고,EXPLICIT_PHASE14_PILOT
DONGYANG-MIRAE,동양미래대학교,JUNIOR_COLLEGE,MAIN,본교,PROGRAM-9E8D6A6731F2,정보통신공학과,2027,SUSI-1,수시1차,SPECIAL-GENERAL-HS,특별전형 / 일반고,EXPLICIT_PHASE14_PILOT
DONGYANG-MIRAE,동양미래대학교,JUNIOR_COLLEGE,MAIN,본교,PROGRAM-0F48B45C106C,전기공학과,2027,SUSI-1,수시1차,SPECIAL-GENERAL-HS,특별전형 / 일반고,EXPLICIT_PHASE14_PILOT
DONGYANG-MIRAE,동양미래대학교,JUNIOR_COLLEGE,MAIN,본교,PROGRAM-8CC0199CEEFE,자유전공학과,2027,SUSI-1,수시1차,SPECIAL-GENERAL-HS,특별전형 / 일반고,EXPLICIT_PHASE14_PILOT
DONGYANG-MIRAE,동양미래대학교,JUNIOR_COLLEGE,MAIN,본교,PROGRAM-F0D2A6A66862,자동화공학과,2027,SUSI-1,수시1차,SPECIAL-GENERAL-HS,특별전형 / 일반고,EXPLICIT_PHASE14_PILOT
DONGYANG-MIRAE,동양미래대학교,JUNIOR_COLLEGE,MAIN,본교,PROGRAM-25F0B70BCC3D,인공지능소프트웨어학과,2027,SUSI-1,수시1차,SPECIAL-GENERAL-HS,특별전형 / 일반고,EXPLICIT_PHASE14_PILOT
DONGYANG-MIRAE,동양미래대학교,JUNIOR_COLLEGE,MAIN,본교,PROGRAM-4B8C8FA5979F,유통마케팅학과,2027,SUSI-1,수시1차,SPECIAL-GENERAL-HS,특별전형 / 일반고,EXPLICIT_PHASE14_PILOT
DONGYANG-MIRAE,동양미래대학교,JUNIOR_COLLEGE,MAIN,본교,PROGRAM-885A40EC715C,웹응용소프트웨어공학과,2027,SUSI-1,수시1차,SPECIAL-GENERAL-HS,특별전형 / 일반고,EXPLICIT_PHASE14_PILOT
DONGYANG-MIRAE,동양미래대학교,JUNIOR_COLLEGE,MAIN,본교,PROGRAM-E479925A138F,실내건축디자인과,2027,SUSI-1,수시1차,SPECIAL-GENERAL-HS,특별전형 / 일반고,EXPLICIT_PHASE14_PILOT
DONGYANG-MIRAE,동양미래대학교,JUNIOR_COLLEGE,MAIN,본교,PROGRAM-81C1D9183CBA,시각디자인과,2027,SUSI-1,수시1차,SPECIAL-GENERAL-HS,특별전형 / 일반고,EXPLICIT_PHASE14_PILOT
