결과학년도,지역,대학명,캠퍼스명,모집시기,전공명,주야,전형구분1,전형구분2,모집인원,지원자수,합격자수,경쟁률,합격자최고,합격자평균,합격자최저,점수기준,점수방향,source_reference
2025,서울,동양미래대학교,본교,수시1차,호텔관광학과,주간,특별전형,일반고,47,,,8.4,,5.7,6.3,RANK_GRADE,LOWER_IS_BETTER,sha256:bde8fe5d513ce2737c08815b0d7e1df366dc8844e6ff7f243eccb63c3bd40606#2025 수시(1차) 결과:3;supplemental.competition_rate=sha256:c35d548abb244168dcffd1a582a38368a58f611f2998604a9b1b70f7e5ae6658#CSV:41888
2025,서울,동양미래대학교,본교,수시1차,컴퓨터소프트웨어공학과,주간,특별전형,일반고,48,,,8.1,,4.1,4.8,RANK_GRADE,LOWER_IS_BETTER,sha256:bde8fe5d513ce2737c08815b0d7e1df366dc8844e6ff7f243eccb63c3bd40606#2025 수시(1차) 결과:4;supplemental.competition_rate=sha256:c35d548abb244168dcffd1a582a38368a58f611f2998604a9b1b70f7e5ae6658#CSV:41894
2025,서울,동양미래대학교,본교,수시1차,정보통신공학과,주간,특별전형,일반고,64,,,4.4,,5.8,6.3,RANK_GRADE,LOWER_IS_BETTER,sha256:bde8fe5d513ce2737c08815b0d7e1df366dc8844e6ff7f243eccb63c3bd40606#2025 수시(1차) 결과:5;supplemental.competition_rate=sha256:c35d548abb244168dcffd1a582a38368a58f611f2998604a9b1b70f7e5ae6658#CSV:41899
2025,서울,동양미래대학교,본교,수시1차,전기공학과,주간,특별전형,일반고,72,,,7.7,,4.5,5.1,RANK_GRADE,LOWER_IS_BETTER,sha256:bde8fe5d513ce2737c08815b0d7e1df366dc8844e6ff7f243eccb63c3bd40606#2025 수시(1차) 결과:6;supplemental.competition_rate=sha256:c35d548abb244168dcffd1a582a38368a58f611f2998604a9b1b70f7e5ae6658#CSV:41897
2025,서울,동양미래대학교,본교,수시1차,자유전공학과,주간,특별전형,일반고,24,,,5.4,,5.5,6,RANK_GRADE,LOWER_IS_BETTER,sha256:bde8fe5d513ce2737c08815b0d7e1df366dc8844e6ff7f243eccb63c3bd40606#2025 수시(1차) 결과:7;supplemental.competition_rate=sha256:c35d548abb244168dcffd1a582a38368a58f611f2998604a9b1b70f7e5ae6658#CSV:41906
2025,서울,동양미래대학교,본교,수시1차,자동화공학과,주간,특별전형,일반고,36,,,3.6,,6.6,7.6,RANK_GRADE,LOWER_IS_BETTER,sha256:bde8fe5d513ce2737c08815b0d7e1df366dc8844e6ff7f243eccb63c3bd40606#2025 수시(1차) 결과:8;supplemental.competition_rate=sha256:c35d548abb244168dcffd1a582a38368a58f611f2998604a9b1b70f7e5ae6658#CSV:41892
2025,서울,동양미래대학교,본교,수시1차,인공지능소프트웨어학과,주간,특별전형,일반고,48,,,5.1,,5.2,6,RANK_GRADE,LOWER_IS_BETTER,sha256:bde8fe5d513ce2737c08815b0d7e1df366dc8844e6ff7f243eccb63c3bd40606#2025 수시(1차) 결과:9;supplemental.competition_rate=sha256:c35d548abb244168dcffd1a582a38368a58f611f2998604a9b1b70f7e5ae6658#CSV:41895
2025,서울,동양미래대학교,본교,수시1차,유통마케팅학과,주간,특별전형,일반고,48,,,5,,5.4,6.6,RANK_GRADE,LOWER_IS_BETTER,sha256:bde8fe5d513ce2737c08815b0d7e1df366dc8844e6ff7f243eccb63c3bd40606#2025 수시(1차) 결과:10;supplemental.competition_rate=sha256:c35d548abb244168dcffd1a582a38368a58f611f2998604a9b1b70f7e5ae6658#CSV:41886
2025,서울,동양미래대학교,본교,수시1차,웹응용소프트웨어공학과,주간,특별전형,일반고,45,,,4.8,,4.7,5.3,RANK_GRADE,LOWER_IS_BETTER,sha256:bde8fe5d513ce2737c08815b0d7e1df366dc8844e6ff7f243eccb63c3bd40606#2025 수시(1차) 결과:11;supplemental.competition_rate=sha256:c35d548abb244168dcffd1a582a38368a58f611f2998604a9b1b70f7e5ae6658#CSV:41896
2025,서울,동양미래대학교,본교,수시1차,실내건축디자인과,주간,특별전형,일반고,45,,,8.8,,4.2,5,RANK_GRADE,LOWER_IS_BETTER,sha256:bde8fe5d513ce2737c08815b0d7e1df366dc8844e6ff7f243eccb63c3bd40606#2025 수시(1차) 결과:12;supplemental.competition_rate=sha256:c35d548abb244168dcffd1a582a38368a58f611f2998604a9b1b70f7e5ae6658#CSV:41901
