institution_code,institution_name,institution_type,region,campus_code,campus_name,program_code,program_name,day_night,target_academic_year,admission_round_code,admission_round_name,admission_track_code,admission_track_name,admission_category,admission_track_label,mapping_status,source_reference
PROCOLLEGE-U-FA596163F9B0,경기과학기술대학교,JUNIOR_COLLEGE,경기,REGION-E56314E9A18B,경기 지역,PROGRAM-CF7C5717B1C0,경영학과,DAY,2027,JEONGSI,정시모집,GENERAL,일반전형 / 일반전형,일반전형,일반전형,EXPLICIT_PHASE17_PUBLIC_SOURCE,sha256:f8577f1e58dbcaa2d2e1bc11ea4ff68641f5e506466ab8d61c49c2ce65c3e8cd#CSV:2
PROCOLLEGE-U-FA596163F9B0,경기과학기술대학교,JUNIOR_COLLEGE,경기,REGION-E56314E9A18B,경기 지역,PROGRAM-A972DA78ECE4,사회복지학과,DAY,2027,JEONGSI,정시모집,GENERAL,일반전형 / 일반전형,일반전형,일반전형,EXPLICIT_PHASE17_PUBLIC_SOURCE,sha256:f8577f1e58dbcaa2d2e1bc11ea4ff68641f5e506466ab8d61c49c2ce65c3e8cd#CSV:3
PROCOLLEGE-U-FA596163F9B0,경기과학기술대학교,JUNIOR_COLLEGE,경기,REGION-E56314E9A18B,경기 지역,PROGRAM-220E41C84A87,국방군사학과,DAY,2027,JEONGSI,정시모집,GENERAL,일반전형 / 일반전형,일반전형,일반전형,EXPLICIT_PHASE17_PUBLIC_SOURCE,sha256:f8577f1e58dbcaa2d2e1bc11ea4ff68641f5e506466ab8d61c49c2ce65c3e8cd#CSV:4
PROCOLLEGE-U-FA596163F9B0,경기과학기술대학교,JUNIOR_COLLEGE,경기,REGION-E56314E9A18B,경기 지역,PROGRAM-613E946A6C9C,자유전공학과,DAY,2027,JEONGSI,정시모집,GENERAL,일반전형 / 일반전형,일반전형,일반전형,EXPLICIT_PHASE17_PUBLIC_SOURCE,sha256:f8577f1e58dbcaa2d2e1bc11ea4ff68641f5e506466ab8d61c49c2ce65c3e8cd#CSV:5
PROCOLLEGE-U-FA596163F9B0,경기과학기술대학교,JUNIOR_COLLEGE,경기,REGION-E56314E9A18B,경기 지역,PROGRAM-A2DB8D0025DD,보건의료정보학과,DAY,2027,JEONGSI,정시모집,GENERAL,일반전형 / 일반전형,일반전형,일반전형,EXPLICIT_PHASE17_PUBLIC_SOURCE,sha256:f8577f1e58dbcaa2d2e1bc11ea4ff68641f5e506466ab8d61c49c2ce65c3e8cd#CSV:6
PROCOLLEGE-U-FA596163F9B0,경기과학기술대학교,JUNIOR_COLLEGE,경기,REGION-E56314E9A18B,경기 지역,PROGRAM-B1DE2B692906,건축인테리어학과,DAY,2027,JEONGSI,정시모집,GENERAL,일반전형 / 일반전형,일반전형,일반전형,EXPLICIT_PHASE17_PUBLIC_SOURCE,sha256:f8577f1e58dbcaa2d2e1bc11ea4ff68641f5e506466ab8d61c49c2ce65c3e8cd#CSV:7
PROCOLLEGE-U-FA596163F9B0,경기과학기술대학교,JUNIOR_COLLEGE,경기,REGION-E56314E9A18B,경기 지역,PROGRAM-7FE9FBF70CE3,기계공학과,DAY,2027,JEONGSI,정시모집,GENERAL,일반전형 / 일반전형,일반전형,일반전형,EXPLICIT_PHASE17_PUBLIC_SOURCE,sha256:f8577f1e58dbcaa2d2e1bc11ea4ff68641f5e506466ab8d61c49c2ce65c3e8cd#CSV:8
PROCOLLEGE-U-FA596163F9B0,경기과학기술대학교,JUNIOR_COLLEGE,경기,REGION-E56314E9A18B,경기 지역,PROGRAM-3485892C31D1,건축소방안전학과,DAY,2027,JEONGSI,정시모집,GENERAL,일반전형 / 일반전형,일반전형,일반전형,EXPLICIT_PHASE17_PUBLIC_SOURCE,sha256:f8577f1e58dbcaa2d2e1bc11ea4ff68641f5e506466ab8d61c49c2ce65c3e8cd#CSV:9
PROCOLLEGE-U-FA596163F9B0,경기과학기술대학교,JUNIOR_COLLEGE,경기,REGION-E56314E9A18B,경기 지역,PROGRAM-439BD61E3D15,메카트로닉스공학과,DAY,2027,JEONGSI,정시모집,GENERAL,일반전형 / 일반전형,일반전형,일반전형,EXPLICIT_PHASE17_PUBLIC_SOURCE,sha256:f8577f1e58dbcaa2d2e1bc11ea4ff68641f5e506466ab8d61c49c2ce65c3e8cd#CSV:10
PROCOLLEGE-U-FA596163F9B0,경기과학기술대학교,JUNIOR_COLLEGE,경기,REGION-E56314E9A18B,경기 지역,PROGRAM-3DE6CF033854,미래전기자동차과,DAY,2027,JEONGSI,정시모집,GENERAL,일반전형 / 일반전형,일반전형,일반전형,EXPLICIT_PHASE17_PUBLIC_SOURCE,sha256:f8577f1e58dbcaa2d2e1bc11ea4ff68641f5e506466ab8d61c49c2ce65c3e8cd#CSV:11
